date.id.power_usage.hour.day_of_week.days_from_start
2011-01-01 00:15:00.0.0.0.5.0
2011-01-01 00:15:00.253."138.575342465753".0.5.0
2011-01-01 00:15:00.252."230.562180579216".0.5.0
2011-01-01 00:15:00.251."130.843558282209".0.5.0
2011-01-01 00:15:00.250."56.2907536076964".0.5.0
2011-01-01 00:15:00.249."46.6860841423948".0.5.0
2011-01-01 00:15:00.248."42.9345238095238".0.5.0
2011-01-01 00:15:00.247."83.5738068812431".0.5.0
2011-01-01 00:15:00.246."224.932249322493".0.5.0
2011-01-01 00:15:00.245."374.066390041494".0.5.0
2011-01-01 00:15:00.244."131.35632183908".0.5.0
2011-01-01 00:15:00.243."86.6145354185833".0.5.0
2011-01-01 00:15:00.242."73.9856801909308".0.5.0
2011-01-01 00:15:00.241."141.621621621622".0.5.0
2011-01-01 00:15:00.240."1395.06172839506".0.5.0
2011-01-01 00:15:00.239."200.746987951807".0.5.0
2011-01-01 00:15:00.238."53.2958199356913".0.5.0
2011-01-01 00:15:00.237."223.275".0.5.0
2011-01-01 00:15:00.236."54.0771349862259".0.5.0
2011-01-01 00:15:00.235."98.5981308411215".0.5.0
2011-01-01 00:15:00.254.0.0.5.0
2011-01-01 00:15:00.234."450.980392156863".0.5.0
2011-01-01 00:15:00.255."77.8375912408759".0.5.0
2011-01-01 00:15:00.257."71.096214511041".0.5.0
2011-01-01 00:15:00.276."53.8353863381859".0.5.0
2011-01-01 00:15:00.275."922.277227722772".0.5.0
2011-01-01 00:15:00.274."70.9570041608876".0.5.0
2011-01-01 00:15:00.273."181.818181818182".0.5.0
2011-01-01 00:15:00.272."261.261261261261".0.5.0
2011-01-01 00:15:00.271."107.06932052162".0.5.0
2011-01-01 00:15:00.270."90.6782215523738".0.5.0
2011-01-01 00:15:00.269."32.091705306543".0.5.0
2011-01-01 00:15:00.268."561.828571428571".0.5.0
2011-01-01 00:15:00.267."165.638506876228".0.5.0
2011-01-01 00:15:00.266."39.6375990939977".0.5.0
2011-01-01 00:15:00.265."182.599277978339".0.5.0
2011-01-01 00:15:00.264."108.494868871152".0.5.0
2011-01-01 00:15:00.263."126.034669555796".0.5.0
2011-01-01 00:15:00.262."86.9559585492228".0.5.0
2011-01-01 00:15:00.261."99.2836676217765".0.5.0
2011-01-01 00:15:00.260."42.0757575757576".0.5.0
2011-01-01 00:15:00.259."89.4857142857143".0.5.0
2011-01-01 00:15:00.258."113.529411764706".0.5.0
2011-01-01 00:15:00.256."87.6579925650557".0.5.0
2011-01-01 00:15:00.277."49.3966151582046".0.5.0
2011-01-01 00:15:00.233."38.1087202718007".0.5.0
2011-01-01 00:15:00.232."84.9247822644497".0.5.0
2011-01-01 00:15:00.208."260.9375".0.5.0
2011-01-01 00:15:00.207."4235.29411764706".0.5.0
2011-01-01 00:15:00.206."345.578231292517".0.5.0
2011-01-01 00:15:00.205."110.538373424971".0.5.0
2011-01-01 00:15:00.204."288.135593220339".0.5.0
2011-01-01 00:15:00.203."447.761194029851".0.5.0
2011-01-01 00:15:00.202."319.354838709677".0.5.0
2011-01-01 00:15:00.201."235.492957746479".0.5.0
2011-01-01 00:15:00.200."173.089071383449".0.5.0
2011-01-01 00:15:00.199."428.4140969163".0.5.0
2011-01-01 00:15:00.198."272.935779816514".0.5.0
2011-01-01 00:15:00.197."148.867313915858".0.5.0
2011-01-01 00:15:00.196."76.6129032258064".0.5.0
2011-01-01 00:15:00.195."12166.6666666667".0.5.0
2011-01-01 00:15:00.194."218.274111675127".0.5.0
2011-01-01 00:15:00.193."1826.27118644068".0.5.0
2011-01-01 00:15:00.192."266.521026761333".0.5.0
2011-01-01 00:15:00.191."285.607755406413".0.5.0
2011-01-01 00:15:00.190."920.863309352518".0.5.0
2011-01-01 00:15:00.209."472.868217054264".0.5.0
2011-01-01 00:15:00.3.0.0.5.0
2011-01-01 00:15:00.210.84.0.5.0
2011-01-01 00:15:00.212."603.036876355748".0.5.0
2011-01-01 00:15:00.231."58.1481481481481".0.5.0
2011-01-01 00:15:00.230."380.41095890411".0.5.0
2011-01-01 00:15:00.229."62.219730941704".0.5.0
2011-01-01 00:15:00.228."582.689335394127".0.5.0
2011-01-01 00:15:00.227."3263.15789473684".0.5.0
2011-01-01 00:15:00.226."228.249744114637".0.5.0
2011-01-01 00:15:00.225."325.833979829325".0.5.0
2011-01-01 00:15:00.224."189.121951219512".0.5.0
2011-01-01 00:15:00.223.0.0.5.0
2011-01-01 00:15:00.222."517.333333333333".0.5.0
